run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
72,true,31.0,31,2843,1828,1010,1011,1824,0.0004,4,1828
73,true,35.0,35,67772,43629,24138,24139,43622,0.0105,7,43629
74,true,38.0,38,1372876,879467,493407,493408,879458,0.2127,9,879467
75,true,33.0,33,149221,96377,52843,52844,96370,0.0232,7,96377
76,true,36.0,36,502588,324987,177600,177601,324978,0.0788,9,324987
77,true,32.0,32,118712,77224,41485,41486,77216,0.0185,8,77224
78,true,28.0,28,11399,7370,4025,4026,7364,0.0018,6,7370
79,true,42.0,42,4684430,3033398,1651026,1651027,3033388,0.7289,10,3033398
80,true,26.0,26,10418,6835,3583,3584,6830,0.0016,5,6835
81,true,27.0,27,16223,10596,5625,5626,10590,0.0026,6,10596
82,true,42.0,42,1515137,971291,543834,543835,971283,0.2331,8,971291
83,true,35.0,35,4648,2952,1683,1684,2949,0.0007,3,2952
84,true,34.0,34,538776,351120,187661,187662,351111,0.0846,9,351120
85,true,31.0,31,98141,63603,34532,34533,63595,0.0153,8,63603
86,true,30.0,30,21430,13934,7491,7492,13928,0.0033,6,13934
87,true,37.0,37,496134,321765,174367,174368,321758,0.0775,7,321765
88,true,36.0,36,634660,412502,222156,222157,412493,0.0991,9,412502
89,true,36.0,36,421705,272841,148866,148867,272834,0.0657,7,272841
90,true,43.0,43,2550695,1640490,910193,910194,1640482,0.3946,8,1640490
91,true,38.0,38,520294,333282,187014,187015,333275,0.0805,7,333282
92,true,40.0,40,922779,594844,327926,327927,594837,0.1432,7,594844
93,true,29.0,29,6313,4098,2205,2206,4095,0.001,3,4098
94,true,36.0,36,258950,167245,91703,91704,167237,0.0403,8,167245
95,true,30.0,30,78005,50499,27503,27504,50493,0.0123,6,50499
96,true,36.0,36,86516,55499,31007,31008,55493,0.0134,6,55499
97,true,34.0,34,43389,27933,15452,15453,27928,0.0067,5,27933
98,true,31.0,31,72030,46667,25359,25360,46661,0.0113,6,46667
99,true,38.0,38,568115,366482,201629,201630,366474,0.0883,8,366482
100,true,36.0,36,355241,228441,126790,126791,228435,0.0551,6,228441run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,887753,574253,313500,313501,574243,0.1392,10,574253
2,true,41.0,41,4921028,3177270,1743757,1743758,3177261,0.7674,9,3177270
3,true,31.0,31,6134,3960,2161,2162,3957,0.001,3,3960
4,true,26.0,26,340,217,116,117,215,0.0001,2,217
5,true,31.0,31,68568,44610,23952,23953,44604,0.0109,6,44610
6,true,37.0,37,141062,90935,50118,50119,90927,0.0221,8,90935
7,true,38.0,38,2202948,1417689,785257,785258,1417679,0.3428,10,1417689
8,true,37.0,37,407279,263736,143537,143538,263728,0.0642,8,263736
9,true,36.0,36,949004,617280,331722,331723,617272,0.1501,8,617280
10,true,38.0,38,149905,96002,53899,53900,95996,0.0234,6,96002
11,true,28.0,28,3940,2554,1382,1383,2549,0.0006,5,2554
12,true,37.0,37,95939,61587,34345,34346,61581,0.0148,6,61587
13,true,32.0,32,178435,116009,62423,62424,116001,0.0278,8,116009
14,true,48.0,48,35536563,22736970,12799591,12799592,22736962,5.4568,8,22736970
15,true,36.0,36,630716,407043,223669,223670,407035,0.0982,8,407043
16,true,26.0,26,8605,5623,2979,2980,5618,0.0014,5,5623
17,true,37.0,37,674296,435447,238848,238849,435439,0.1048,8,435447
18,true,34.0,34,33855,21910,11938,11939,21904,0.0053,6,21910
19,true,39.0,39,1176326,765251,411068,411069,765243,0.1832,8,765251
20,true,39.0,39,469242,301005,168232,168233,300997,0.0724,8,301005
21,true,32.0,32,118064,76721,41336,41337,76713,0.0184,8,76721
22,true,29.0,29,12395,8048,4345,4346,8042,0.0019,6,8048
23,true,38.0,38,1510561,975629,534930,534931,975623,0.2342,6,975629
24,true,26.0,26,1640,1055,577,578,1052,0.0003,3,1055
25,true,36.0,36,76174,49377,26791,26792,49371,0.0118,6,49377
26,true,37.0,37,196940,126260,70678,70679,126253,0.0304,7,126260
27,true,36.0,36,739698,477005,262690,262691,476996,0.1156,9,477005
28,true,39.0,39,93693,59600,34086,34087,59594,0.0144,6,59600
29,true,40.0,40,792602,507613,284983,284984,507606,0.1223,7,507613
30,true,30.0,30,40948,26570,14373,14374,26563,0.0064,7,26570
31,true,36.0,36,433172,278931,154236,154237,278922,0.0673,9,278931
32,true,37.0,37,1278181,823090,455082,455083,823083,0.1983,7,823090
33,true,25.0,25,13833,8988,4845,4846,8981,0.0022,7,8988
34,true,38.0,38,438834,283683,155144,155145,283677,0.0682,6,283683
35,true,39.0,39,1612784,1042797,569977,569978,1042791,0.2511,6,1042797
36,true,30.0,30,11939,7766,4161,4162,7761,0.0019,5,7766
37,true,37.0,37,259028,166705,92315,92316,166698,0.04,7,166705
38,true,22.0,22,830,543,281,282,539,0.0001,4,543
39,true,35.0,35,92987,59967,33011,33012,59961,0.0145,6,59967
40,true,33.0,33,144041,93441,50595,50596,93434,0.0226,7,93441
41,true,34.0,34,218537,141757,76780,76781,141749,0.0341,8,141757
42,true,40.0,40,378505,245160,133331,133332,245154,0.0591,6,245160
43,true,34.0,34,39179,25246,13925,13926,25240,0.0061,6,25246
44,true,37.0,37,1425835,919662,506171,506172,919652,0.2222,10,919662
45,true,34.0,34,588980,382871,206109,206110,382862,0.0924,9,382871
46,true,39.0,39,941558,606445,335102,335103,606437,0.146,8,606445
47,true,24.0,24,15915,10390,5530,5531,10383,0.0025,7,10390
48,true,31.0,31,93497,60723,32774,32775,60715,0.0146,8,60723
49,true,42.0,42,2192693,1409940,782746,782747,1409932,0.3393,8,1409940
50,true,40.0,40,300992,192245,108738,108739,192238,0.0464,7,192245
51,true,40.0,40,2333823,1517280,816533,816534,1517272,0.364,8,1517280
52,true,32.0,32,196891,126859,70026,70027,126851,0.0306,8,126859
53,true,34.0,34,37229,24150,13076,13077,24144,0.0059,6,24150
54,true,33.0,33,195443,125936,69507,69508,125928,0.0304,8,125936
55,true,31.0,31,37547,24178,13365,13366,24171,0.0058,7,24178
56,true,25.0,25,494,317,171,172,313,0.0001,4,317
57,true,36.0,36,582101,376725,205374,205375,376717,0.0908,8,376725
58,true,39.0,39,777501,503846,273653,273654,503838,0.1216,8,503846
59,true,32.0,32,56228,36489,19726,19727,36483,0.0088,6,36489
60,true,37.0,37,255255,164677,90568,90569,164670,0.0399,7,164677
61,true,34.0,34,75999,49148,26848,26849,49140,0.0118,8,49148
62,true,38.0,38,76483,49057,27420,27421,49052,0.0118,5,49057
63,true,31.0,31,133900,86486,47411,47412,86478,0.0208,8,86486
64,true,37.0,37,271984,175756,96224,96225,175749,0.0424,7,175756
65,true,29.0,29,4306,2789,1507,1508,2786,0.0007,3,2789
66,true,34.0,34,379157,245293,133858,133859,245285,0.0592,8,245293
67,true,29.0,29,16326,10544,5776,5777,10538,0.0025,6,10544
68,true,38.0,38,1127295,726974,400322,400323,726965,0.1746,9,726974
69,true,40.0,40,3313062,2138416,1174646,1174647,2138407,0.5167,9,2138416
70,true,33.0,33,23118,14902,8207,8208,14898,0.0036,4,14902
71,true,42.0,42,2121805,1363289,758513,758514,1363281,0.3268,8,1363289
72,true,31.0,31,2843,1828,1010,1011,1824,0.0004,4,1828
73,true,35.0,35,67772,43629,24138,24139,43622,0.0105,7,43629
74,true,38.0,38,1372876,879467,493407,493408,879458,0.2125,9,879467
75,true,33.0,33,149221,96377,52843,52844,96370,0.0233,7,96377
76,true,36.0,36,502588,324987,177600,177601,324978,0.0787,9,324987
77,true,32.0,32,118712,77224,41485,41486,77216,0.0185,8,77224
78,true,28.0,28,11399,7370,4025,4026,7364,0.0018,6,7370
79,true,42.0,42,4684430,3033398,1651026,1651027,3033388,0.7298,10,3033398
80,true,26.0,26,10418,6835,3583,3584,6830,0.0016,5,6835
81,true,27.0,27,16223,10596,5625,5626,10590,0.0025,6,10596
82,true,42.0,42,1515137,971291,543834,543835,971283,0.2332,8,971291
83,true,35.0,35,4648,2952,1683,1684,2949,0.0007,3,2952
84,true,34.0,34,538776,351120,187661,187662,351111,0.0849,9,351120
85,true,31.0,31,98141,63603,34532,34533,63595,0.0154,8,63603
86,true,30.0,30,21430,13934,7491,7492,13928,0.0033,6,13934
87,true,37.0,37,496134,321765,174367,174368,321758,0.0776,7,321765
88,true,36.0,36,634660,412502,222156,222157,412493,0.0993,9,412502
89,true,36.0,36,421705,272841,148866,148867,272834,0.0659,7,272841
90,true,43.0,43,2550695,1640490,910193,910194,1640482,0.3945,8,1640490
91,true,38.0,38,520294,333282,187014,187015,333275,0.0805,7,333282
92,true,40.0,40,922779,594844,327926,327927,594837,0.143,7,594844
93,true,29.0,29,6313,4098,2205,2206,4095,0.001,3,4098
94,true,36.0,36,258950,167245,91703,91704,167237,0.0401,8,167245
95,true,30.0,30,78005,50499,27503,27504,50493,0.0123,6,50499
96,true,36.0,36,86516,55499,31007,31008,55493,0.0134,6,55499
97,true,34.0,34,43389,27933,15452,15453,27928,0.0067,5,27933
98,true,31.0,31,72030,46667,25359,25360,46661,0.0112,6,46667
99,true,38.0,38,568115,366482,201629,201630,366474,0.0879,8,366482
100,true,36.0,36,355241,228441,126790,126791,228435,0.0547,6,228441run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,887753,574253,313500,313501,574243,0.1381,10,574253
2,true,41.0,41,4921028,3177270,1743757,1743758,3177261,0.766,9,3177270
3,true,31.0,31,6134,3960,2161,2162,3957,0.0009,3,3960
4,true,26.0,26,340,217,116,117,215,0.0001,2,217
5,true,31.0,31,68568,44610,23952,23953,44604,0.0108,6,44610
6,true,37.0,37,141062,90935,50118,50119,90927,0.0218,8,90935
7,true,38.0,38,2202948,1417689,785257,785258,1417679,0.3412,10,1417689
8,true,37.0,37,407279,263736,143537,143538,263728,0.0636,8,263736
9,true,36.0,36,949004,617280,331722,331723,617272,0.1485,8,617280
10,true,38.0,38,149905,96002,53899,53900,95996,0.023,6,96002
11,true,28.0,28,3940,2554,1382,1383,2549,0.0006,5,2554
12,true,37.0,37,95939,61587,34345,34346,61581,0.0148,6,61587
13,true,32.0,32,178435,116009,62423,62424,116001,0.028,8,116009
14,true,48.0,48,35536563,22736970,12799591,12799592,22736962,5.4613,8,22736970
15,true,36.0,36,630716,407043,223669,223670,407035,0.0985,8,407043
16,true,26.0,26,8605,5623,2979,2980,5618,0.0014,5,5623
17,true,37.0,37,674296,435447,238848,238849,435439,0.1048,8,435447
18,true,34.0,34,33855,21910,11938,11939,21904,0.0053,6,21910
19,true,39.0,39,1176326,765251,411068,411069,765243,0.1835,8,765251
20,true,39.0,39,469242,301005,168232,168233,300997,0.0726,8,301005
21,true,32.0,32,118064,76721,41336,41337,76713,0.0187,8,76721
22,true,29.0,29,12395,8048,4345,4346,8042,0.0019,6,8048
23,true,38.0,38,1510561,975629,534930,534931,975623,0.2341,6,975629
24,true,26.0,26,1640,1055,577,578,1052,0.0003,3,1055
25,true,36.0,36,76174,49377,26791,26792,49371,0.0118,6,49377
26,true,37.0,37,196940,126260,70678,70679,126253,0.0305,7,126260
27,true,36.0,36,739698,477005,262690,262691,476996,0.1154,9,477005
28,true,39.0,39,93693,59600,34086,34087,59594,0.0144,6,59600
29,true,40.0,40,792602,507613,284983,284984,507606,0.1225,7,507613
30,true,30.0,30,40948,26570,14373,14374,26563,0.0064,7,26570
31,true,36.0,36,433172,278931,154236,154237,278922,0.0673,9,278931
32,true,37.0,37,1278181,823090,455082,455083,823083,0.1981,7,823090
33,true,25.0,25,13833,8988,4845,4846,8981,0.0022,7,8988
34,true,38.0,38,438834,283683,155144,155145,283677,0.068,6,283683
35,true,39.0,39,1612784,1042797,569977,569978,1042791,0.2509,6,1042797
36,true,30.0,30,11939,7766,4161,4162,7761,0.0018,5,7766
37,true,37.0,37,259028,166705,92315,92316,166698,0.04,7,166705
38,true,22.0,22,830,543,281,282,539,0.0001,4,543
39,true,35.0,35,92987,59967,33011,33012,59961,0.0145,6,59967
40,true,33.0,33,144041,93441,50595,50596,93434,0.0225,7,93441
41,true,34.0,34,218537,141757,76780,76781,141749,0.034,8,141757
42,true,40.0,40,378505,245160,133331,133332,245154,0.0589,6,245160
43,true,34.0,34,39179,25246,13925,13926,25240,0.0061,6,25246
44,true,37.0,37,1425835,919662,506171,506172,919652,0.221,10,919662
45,true,34.0,34,588980,382871,206109,206110,382862,0.092,9,382871
46,true,39.0,39,941558,606445,335102,335103,606437,0.1457,8,606445
47,true,24.0,24,15915,10390,5530,5531,10383,0.0025,7,10390
48,true,31.0,31,93497,60723,32774,32775,60715,0.0145,8,60723
49,true,42.0,42,2192693,1409940,782746,782747,1409932,0.3375,8,1409940
50,true,40.0,40,300992,192245,108738,108739,192238,0.0463,7,192245
51,true,40.0,40,2333823,1517280,816533,816534,1517272,0.3636,8,1517280
52,true,32.0,32,196891,126859,70026,70027,126851,0.0305,8,126859
53,true,34.0,34,37229,24150,13076,13077,24144,0.0058,6,24150
54,true,33.0,33,195443,125936,69507,69508,125928,0.0305,8,125936
55,true,31.0,31,37547,24178,13365,13366,24171,0.0058,7,24178
56,true,25.0,25,494,317,171,172,313,0.0001,4,317
57,true,36.0,36,582101,376725,205374,205375,376717,0.0905,8,376725
58,true,39.0,39,777501,503846,273653,273654,503838,0.1211,8,503846
59,true,32.0,32,56228,36489,19726,19727,36483,0.0087,6,36489
60,true,37.0,37,255255,164677,90568,90569,164670,0.0396,7,164677
61,true,34.0,34,75999,49148,26848,26849,49140,0.0119,8,49148
62,true,38.0,38,76483,49057,27420,27421,49052,0.0118,5,49057
63,true,31.0,31,133900,86486,47411,47412,86478,0.0208,8,86486
64,true,37.0,37,271984,175756,96224,96225,175749,0.0425,7,175756
65,true,29.0,29,4306,2789,1507,1508,2786,0.0007,3,2789
66,true,34.0,34,379157,245293,133858,133859,245285,0.0591,8,245293
67,true,29.0,29,16326,10544,5776,5777,10538,0.0025,6,10544
68,true,38.0,38,1127295,726974,400322,400323,726965,0.1751,9,726974
69,true,40.0,40,3313062,2138416,1174646,1174647,2138407,0.5134,9,2138416
70,true,33.0,33,23118,14902,8207,8208,14898,0.0036,4,14902
71,true,42.0,42,2121805,1363289,758513,758514,1363281,0.3276,8,1363289
72,true,31.0,31,2843,1828,1010,1011,1824,0.0004,4,1828
73,true,35.0,35,67772,43629,24138,24139,43622,0.0106,7,43629
74,true,38.0,38,1372876,879467,493407,493408,879458,0.2119,9,879467
75,true,33.0,33,149221,96377,52843,52844,96370,0.0231,7,96377
76,true,36.0,36,502588,324987,177600,177601,324978,0.0784,9,324987
77,true,32.0,32,118712,77224,41485,41486,77216,0.0188,8,77224
78,true,28.0,28,11399,7370,4025,4026,7364,0.0018,6,7370
79,true,42.0,42,4684430,3033398,1651026,1651027,3033388,0.7285,10,3033398
80,true,26.0,26,10418,6835,3583,3584,6830,0.0016,5,6835
81,true,27.0,27,16223,10596,5625,5626,10590,0.0025,6,10596
82,true,42.0,42,1515137,971291,543834,543835,971283,0.2332,8,971291
83,true,35.0,35,4648,2952,1683,1684,2949,0.0007,3,2952
84,true,34.0,34,538776,351120,187661,187662,351111,0.0847,9,351120
85,true,31.0,31,98141,63603,34532,34533,63595,0.0152,8,63603
86,true,30.0,30,21430,13934,7491,7492,13928,0.0033,6,13934
87,true,37.0,37,496134,321765,174367,174368,321758,0.0772,7,321765
88,true,36.0,36,634660,412502,222156,222157,412493,0.0988,9,412502
89,true,36.0,36,421705,272841,148866,148867,272834,0.0656,7,272841
90,true,43.0,43,2550695,1640490,910193,910194,1640482,0.3948,8,1640490
91,true,38.0,38,520294,333282,187014,187015,333275,0.0818,7,333282
92,true,40.0,40,922779,594844,327926,327927,594837,0.1433,7,594844
93,true,29.0,29,6313,4098,2205,2206,4095,0.001,3,4098
94,true,36.0,36,258950,167245,91703,91704,167237,0.0402,8,167245
95,true,30.0,30,78005,50499,27503,27504,50493,0.0121,6,50499
96,true,36.0,36,86516,55499,31007,31008,55493,0.0137,6,55499
97,true,34.0,34,43389,27933,15452,15453,27928,0.0067,5,27933
98,true,31.0,31,72030,46667,25359,25360,46661,0.0113,6,46667
99,true,38.0,38,568115,366482,201629,201630,366474,0.0887,8,366482
100,true,36.0,36,355241,228441,126790,126791,228435,0.0549,6,228441
